City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alofi,-19.0595,-169.9187,26.88,82,100,7.21,NU,1678837414
1,anadyr,64.75,177.4833,-19.72,77,0,4.0,RU,1678837415
2,new norfolk,-42.7826,147.0587,21.07,49,93,2.24,AU,1678837416
3,bredasdorp,-34.5322,20.0403,20.63,95,68,3.38,ZA,1678837416
4,san quintin,30.4833,-115.95,17.86,68,85,4.6,MX,1678837219
5,vigrestad,58.5667,5.7,0.82,66,93,8.81,NO,1678837418
6,adrar,20.5022,-10.0711,26.67,12,49,5.17,MR,1678837418
7,iqaluit,63.7506,-68.5145,-20.15,76,20,1.54,CA,1678837419
8,lavrentiya,65.5833,-171.0,-19.99,82,8,5.01,RU,1678837419
9,zhangye,38.9342,100.4517,2.98,53,77,1.45,CN,1678837420
10,bluff,-46.6,168.3333,15.12,71,67,3.78,NZ,1678837421
11,solone,48.2081,34.8721,5.5,70,79,4.45,UA,1678837422
12,marzuq,14.4,46.4667,21.51,47,91,2.18,YE,1678837422
13,hermanus,-34.4187,19.2345,21.0,90,58,5.66,ZA,1678837423
14,talaya,61.3833,152.75,-7.44,88,94,2.69,RU,1678837424
15,vardo,70.3705,31.1107,-1.01,80,75,8.23,NO,1678837424
16,san cristobal,7.7669,-72.225,18.1,67,76,0.82,VE,1678837425
17,punta arenas,-53.15,-70.9167,6.06,70,20,8.23,CL,1678837426
18,barrow,71.2906,-156.7887,-26.99,69,0,3.09,US,1678837422
19,ushuaia,-54.8,-68.3,3.81,81,75,9.77,AR,1678837299
20,carlisle,40.2015,-77.1889,1.38,57,90,4.02,US,1678837325
21,houma,29.5958,-90.7195,16.0,48,0,4.12,US,1678837290
22,pattensen,52.2645,9.7644,3.25,78,60,5.89,DE,1678837429
23,rikitea,-23.1203,-134.9692,26.47,69,0,4.51,PF,1678837431
24,airai,-8.9266,125.4092,20.01,68,12,0.55,TL,1678837431
25,crixas,-14.5489,-49.9692,21.82,91,99,1.84,BR,1678837432
26,hithadhoo,-0.6,73.0833,27.42,78,100,5.21,MV,1678837433
27,nizhniy kuranakh,58.8353,125.4869,-12.53,93,100,4.02,RU,1678837434
28,wuwei,37.9281,102.6414,2.19,47,90,1.03,CN,1678837435
29,burnie,-41.0667,145.9167,18.86,70,40,3.04,AU,1678837437
30,saint-philippe,-21.3585,55.7679,24.77,76,67,5.39,RE,1678837297
31,tuktoyaktuk,69.4541,-133.0374,-28.0,76,20,5.14,CA,1678837438
32,talgar,43.3027,77.2395,-2.91,100,40,1.0,KZ,1678837439
33,eirunepe,-6.6603,-69.8736,22.18,98,80,0.27,BR,1678837440
34,bogalusa,30.791,-89.8487,14.3,38,0,2.06,US,1678837441
35,albany,42.6001,-73.9662,0.7,93,100,6.36,US,1678837415
36,kingori,-3.2833,36.9833,21.21,73,20,9.26,TZ,1678837443
37,hobart,-42.8794,147.3294,21.26,57,20,3.6,AU,1678837385
38,atuona,-9.8,-139.0333,27.04,75,87,2.99,PF,1678837444
39,tuatapere,-46.1333,167.6833,17.85,52,65,0.26,NZ,1678837445
40,kapaa,22.0752,-159.319,26.77,87,75,2.57,US,1678837446
41,mataura,-46.1927,168.8643,16.71,65,97,1.1,NZ,1678837447
42,avarua,-21.2078,-159.775,29.03,65,75,4.63,CK,1678837448
43,finnsnes,69.2296,17.9811,-9.58,95,100,1.62,NO,1678837449
44,hasaki,35.7333,140.8333,11.27,56,36,2.88,JP,1678837451
45,tasiilaq,65.6145,-37.6368,-12.91,68,92,2.13,GL,1678837319
46,longyearbyen,78.2186,15.6401,-19.09,65,0,6.17,SJ,1678837362
47,batemans bay,-35.7167,150.1833,21.17,52,62,1.27,AU,1678837453
48,abha,18.2164,42.5053,13.14,94,0,2.57,SA,1678837454
49,kodiak,57.79,-152.4072,-2.27,46,0,4.63,US,1678837455
50,bambous virieux,-20.3428,57.7575,26.14,73,20,1.54,MU,1678837355
51,yulara,-25.2406,130.9889,31.26,19,9,4.19,AU,1678837457
52,tema,5.667,-0.0166,28.15,73,26,4.92,GH,1678837459
53,manosque,43.8288,5.7869,8.09,50,0,9.99,FR,1678837459
54,rebrikha,53.0733,82.3408,-10.59,98,33,2.29,RU,1678837460
55,tiznit,29.5833,-9.5,19.73,38,6,0.45,MA,1678837462
56,mercedes,-34.6515,-59.4307,30.91,57,95,4.36,AR,1678837463
57,jamestown,42.097,-79.2353,-2.23,97,100,8.23,US,1678837345
58,castro,-24.7911,-50.0119,17.58,98,100,2.82,BR,1678837464
59,nyurba,63.2842,118.3319,-19.49,99,97,1.57,RU,1678837465
60,port blair,11.6667,92.75,27.02,78,40,1.03,IN,1678837396
61,mar del plata,-38.0023,-57.5575,22.83,97,75,2.57,AR,1678837212
62,palimbang,6.2106,124.1894,27.71,77,91,0.92,PH,1678837468
63,barcarena,-1.5058,-48.6258,26.03,91,100,1.47,BR,1678837469
64,katsuura,35.1333,140.3,12.41,60,83,2.3,JP,1678837470
65,vaini,-21.2,-175.2,29.09,74,20,5.14,TO,1678837458
66,safaga,26.7292,33.9365,18.2,51,3,6.37,EG,1678837471
67,puerto ayora,-0.7393,-90.3518,26.42,90,83,1.34,EC,1678837327
68,laguna,38.421,-121.4238,18.1,72,100,15.43,US,1678837263
69,deyskoye,43.4755,44.1618,2.08,74,93,1.11,RU,1678837473
70,bauchi,10.5,10.0,21.32,13,0,1.95,NG,1678837474
71,saskylakh,71.9167,114.0833,-22.23,95,96,4.72,RU,1678837475
72,saint-louis,16.3333,-15.0,30.8,28,0,5.11,SN,1678837476
